Age_Estimate	Age_Std.Rrror	Age_Z_value	Age_Pvalue	Gender_Estimate	Gender_Std.Rrror	Gender_Z_value	Gender_Pvalue	Metabolite_Estimate	Metabolite_Std.Rrror	Metabolite_Z_value	Metabolite_Pvalue	BMI_Estimate	BMI_Std.Rrror	BMI_Z_value	BMI_Pvalue	Smoking_Estimate	Smoking_Std.Rrror	Smoking_Z_value	Smoking_Pvalue	DM_status_Estimate	DM_status_Std.Rrror	DM_status_Z_value	DM_status_Pvalue	Fasting_status_Estimate	Fasting_status_Std.Rrror	Fasting_status_Z_value	Fasting_status_Pvalue	N	Ndf	Ncases	Ncontrols
His	0.000506772987945039	0.0196962747509962	0.0257293825533891	0.97947318772212	0.286662637069896	0.362887317021309	0.789949451589853	0.429557289570322	-0.532642032618927	0.190082648616687	-2.80216019976147	0.00507616598993608	0.0522173475899639	0.0432185476503518	1.20821615784997	0.226964128243263	0.679903513035389	0.25135291123336	2.70497568418516	0.00683093894774892	1.31777776240554	0.565007446888508	2.33231928121043	0.0196839009384471	0.411535841439945	0.313838057933882	1.31129998748159	0.189756432625064	170	162	55	115
IDL.CE_.	-0.00436190782322384	0.0200233361069627	-0.217841212868972	0.827552832354848	0.386087796190842	0.368055780245292	1.04899261718844	0.294181516347676	-0.51418695303957	0.196568862077545	-2.61581080342586	0.00890158662490514	0.057927968446886	0.0430606412870781	1.34526488030426	0.178539710653123	0.651326488594368	0.248191810863538	2.62428678177655	0.00868306396189571	1.10537060467174	0.54984339661913	2.01033714593725	0.0443955179420845	0.417196494575768	0.313548415770756	1.33056483015622	0.183332241275984	172	164	56	116
XL.HDL.FC_.	0.000138297556860683	0.019812427588472	0.00698034383939666	0.994430536650356	0.404526669758245	0.36930568472781	1.09537081742025	0.273354213663997	-0.452187940890615	0.178430416894169	-2.53425368141586	0.0112687119951023	0.046760463835755	0.0433556469210944	1.07853225949684	0.280796293359328	0.682508826695732	0.247838528046218	2.75384473946059	0.00588997024287907	1.23657481672423	0.546965502860925	2.26079123867277	0.0237721873931815	0.504598319687762	0.311391724125912	1.62046156205399	0.105133164833922	172	164	56	116
IDL.C_.	-0.00428445804505384	0.0200629976221594	-0.213550244372341	0.830897803463749	0.420065272819273	0.367073106746552	1.14436406562824	0.252472684300373	-0.470799490471791	0.195212960073557	-2.41172251214464	0.0158773602867294	0.0324145075468661	0.0435358670057605	0.744547192377657	0.456545501878511	0.58954619213373	0.246906386118987	2.38773164761166	0.0169527152949084	0.902081825106882	0.554446057954513	1.62699655298278	0.10373782988637	0.481832466763678	0.314828536488418	1.53045995175029	0.125902919158802	172	164	56	116
Gln	0.00200323305263756	0.0197532990720656	0.101412581530265	0.919222949348592	0.294706300971977	0.359290357533277	0.820245505599693	0.412076165215433	-0.406893551481908	0.181718738280975	-2.23913920672708	0.0251468599325394	0.0471215228342766	0.0427286351951281	1.10280898556875	0.270110125144618	0.646587620702709	0.245252038367516	2.63642098555684	0.00837857108807448	1.45724142273747	0.573112866726866	2.54267790402263	0.0110006584025197	0.478621350005013	0.30371600087562	1.57588453892826	0.115052414755144	172	164	56	116
XS.VLDL.CE_.	0.00977376029923786	0.0195820866242658	0.49911740698391	0.617696675312896	0.408655114109073	0.367861630235828	1.11089355485945	0.26661417005249	-0.407892245803879	0.188533027486477	-2.1635055207138	0.0305023195772018	0.0335694890547034	0.0435507818428818	0.770812546507479	0.440818049424656	0.57438473977306	0.246283350867296	2.3322109990397	0.0196895938329544	0.950420787673224	0.551127819884831	1.72450156457686	0.0846173367549096	0.472477108754968	0.313624042597618	1.5065079349199	0.131936831704495	172	164	56	116
LDL.D	0.0172032512389701	0.0200082001491714	0.85981003342185	0.389893767567861	0.472264928607112	0.377027705505893	1.25260006548705	0.210351291026696	-0.380618874198145	0.195339903521522	-1.94849525026109	0.051355732600085	0.0450594654721928	0.0422607421405928	1.06622513448271	0.286321882774464	0.615198388518091	0.246118035194872	2.49960710124712	0.0124331111128055	1.01486190631269	0.548516730255627	1.85019316701558	0.0642857134520368	0.469798659574	0.306122410702679	1.53467581316773	0.124863479863016	172	164	56	116
IDL.TG_.	-0.0017650906145954	0.0199509185903859	-0.0884716463855443	0.929501818858848	0.331895534798742	0.35998034917978	0.921982368079176	0.356537772740684	0.360908814679393	0.191259314697415	1.88701300770828	0.0591585761084523	0.0298791975531734	0.0441351047723808	0.67699391917772	0.498409812510114	0.589690878861413	0.244455692087196	2.4122607816024	0.0158539373407608	0.946793868146589	0.550782306768614	1.71899833475286	0.0856146751455599	0.471550205302209	0.311448103655498	1.51405707650031	0.130011363956186	172	164	56	116
Tyr	0.00432279458402115	0.0192021345419008	0.225120523689094	0.821885515145397	0.358894004892056	0.359875456614884	0.997272801729634	0.318632111827436	-0.373853546412024	0.205254668674317	-1.82141311974358	0.0685440823323161	0.0787557698548619	0.044617278992444	1.76514058305078	0.0775401415392279	0.711527794578321	0.250713275586497	2.83801403381546	0.00453951866844631	1.14423464837766	0.551483770278676	2.07482923350483	0.0380023641943586	0.268991221315916	0.317246960043497	0.847892195023822	0.396498011642724	170	162	56	114
SM	0.00510431962619829	0.019271625244282	0.264861918052956	0.791115835876804	0.507649713261662	0.385168764987857	1.31799294077667	0.187506011040014	-0.366842658986705	0.202592212898813	-1.81074412356574	0.0701804693095369	0.0424006248646462	0.042994958198703	0.986176673755327	0.324046423737968	0.620588280221228	0.244834545842009	2.53472514708645	0.0112535584168461	0.960621572461029	0.554266818901794	1.73313923854286	0.0830709235789842	0.540892239336462	0.312041832036227	1.73339656355326	0.0830252079713952	172	164	56	116
