Age_Estimate	Age_Std.Rrror	Age_Z_value	Age_Pvalue	Gender_Estimate	Gender_Std.Rrror	Gender_Z_value	Gender_Pvalue	Metabolite_Estimate	Metabolite_Std.Rrror	Metabolite_Z_value	Metabolite_Pvalue	BMI_Estimate	BMI_Std.Rrror	BMI_Z_value	BMI_Pvalue	Smoking_Estimate	Smoking_Std.Rrror	Smoking_Z_value	Smoking_Pvalue	DM_status_Estimate	DM_status_Std.Rrror	DM_status_Z_value	DM_status_Pvalue	Fasting_status_Estimate	Fasting_status_Std.Rrror	Fasting_status_Z_value	Fasting_status_Pvalue	N	Ndf	Ncases	Ncontrols
IDL.CE	0.0375113347515241	0.0209024893358608	1.79458695798346	0.0727195326031329	0.643956044474209	0.367712228009897	1.75125001406501	0.0799028538075842	-0.271051365118112	0.189715409109459	-1.4287261450741	0.153082960131965	-0.00466309185423732	0.0427831563887145	-0.108993637866966	0.913207536519238	0.631514533232208	0.27416574096227	2.30340425107715	0.0212561087932726	2.02867203304727	0.874242602558186	2.32049093365048	0.0203143348123948	-0.319746434641568	0.203031296162483	-1.57486279546617	0.115288117944165	155	147	81	74
Lac	0.0408752256847333	0.0214537631105289	1.90527067322156	0.0567448955762386	0.712527539279282	0.375061942158518	1.89975963751112	0.0574646699965982	0.279410199118271	0.197402052122584	1.41543715535825	0.156940362175622	-0.0101285176462596	0.044690413248735	-0.226637368284939	0.820705732573242	0.659141366305741	0.281928894331599	2.33797024554167	0.01938879171792	2.85977542320888	1.11728671338469	2.5595716739041	0.0104801242556254	-0.220302743573478	0.206075970243003	-1.06903654663714	0.285053201758442	154	146	81	73
M.HDL.PL	0.0315961545882371	0.0209778868187968	1.50616479444088	0.132024874583299	0.770638504549457	0.394175091669118	1.95506646877716	0.0505752253715899	-0.267609207866968	0.189433865263075	-1.41267881271032	0.1577501840065	0.00541542955647958	0.0427964368455963	0.12653926250958	0.899305071824327	0.653774971439208	0.274760313700752	2.3794374181391	0.0173390869570141	1.99162850037758	0.866895053237564	2.29742746015162	0.0215943967749404	-0.211926446183615	0.202090018261336	-1.04867349712225	0.294328416140359	155	147	81	74
LDL.D	0.0383190912120261	0.0212861172907923	1.80019167838569	0.0718303773688677	0.60938455820418	0.367102933282808	1.65998280851306	0.0969179110412721	-0.271018468465439	0.192878467919542	-1.40512557668434	0.159983939788307	0.00481752562782611	0.0431992092905495	0.111518838120956	0.911204928112935	0.612095201114816	0.274819251574062	2.2272646388816	0.0259295923480722	2.12637045691393	0.870903627189451	2.44156803408442	0.0146236326279781	-0.232567229129982	0.199447730670319	-1.16605603056175	0.243591792409362	155	147	81	74
Glc	0.0328606783953535	0.0207890278327352	1.58067412578138	0.11395256739931	0.601057434555492	0.36776975765726	1.63433077908392	0.10218941420326	0.309709433517723	0.222018457624553	1.39497155701109	0.163024416850056	-0.00574280978679974	0.0432908532789406	-0.132656423974748	0.894465106821156	0.660320558491077	0.273973689676612	2.41016047661545	0.015945505080945	1.68670562619111	0.912849967817056	1.84773586641473	0.0646405627098979	-0.200196189916327	0.201923017461451	-0.991448089639146	0.321466828109188	154	146	80	74
M.HDL.P	0.0312928124108427	0.0209905008410173	1.49080827788986	0.13601183783123	0.749765730816936	0.389768366809169	1.92361873015729	0.0544023915546095	-0.255875917810636	0.184541243438597	-1.38655139112995	0.165578599313211	0.00579413429056045	0.0428270729566763	0.135291391415467	0.892381491156911	0.644381414185706	0.27465113204425	2.3461815336042	0.0189668671320419	1.97698386444286	0.866983522576548	2.28030154317991	0.0225898103482247	-0.227032347467016	0.200588663487573	-1.13183040117859	0.25770574383386	155	147	81	74
IDL.C	0.0375665034333036	0.0209036643589981	1.79712526895472	0.072315734979264	0.652730090377151	0.368855891669841	1.76960733207267	0.0767925765865751	-0.262694810082438	0.189545862546594	-1.38591687812686	0.165772286400589	-0.00499848187029384	0.0427933253433854	-0.11680517534416	0.907014442497316	0.636960214010179	0.274029011975653	2.32442619640132	0.0201026628940972	2.02212639340415	0.873362420130117	2.31533478747905	0.0205946173591813	-0.307674544131442	0.20146994158184	-1.52714862433441	0.126724058160323	155	147	81	74
XL.HDL.C_.	0.0385103255752194	0.0213681945179569	1.80222646058641	0.0715097832025039	0.75392759959472	0.387429953510758	1.9459713756329	0.0516581781168386	0.273173307569327	0.197646598234482	1.38213007463575	0.166931765625157	-0.00780826379876836	0.0435122660388843	-0.179449716357925	0.857584596880812	0.671552319693004	0.276859787949433	2.42560439949358	0.0152829193666852	2.00150382973347	0.888641936139875	2.25231755146251	0.0243022117913256	-0.260519303366578	0.204232422442479	-1.27560208242622	0.202096217606641	151	143	78	73
S.VLDL.TG_.	0.0363036771480712	0.0208767961100345	1.7389486852641	0.082043789477772	0.684937455407957	0.375712167423897	1.82303772620485	0.0682976772040443	0.266641227297969	0.19359635625318	1.37730498888762	0.168417973457035	-0.00442116771665375	0.0428584978599692	-0.103157318557896	0.917838113986911	0.678724310726381	0.276301806559611	2.45645990946479	0.0140313457099863	1.95451946296586	0.866800297837145	2.2548670874281	0.0241416727392313	-0.194712030222657	0.204578139513319	-0.951773394194839	0.341211917998139	155	147	81	74
M.HDL.L	0.0317400346348228	0.0209587311709731	1.5144063052243	0.129922821078858	0.746058678262497	0.389020281784501	1.91778864289595	0.0551378164174808	-0.253182730931621	0.184572055890257	-1.37172840011144	0.170148003868026	0.00484327884856039	0.0427700510069253	0.113239959610433	0.909840316210084	0.650005974895277	0.274515285870482	2.36783162305196	0.0178926768045902	1.98832105625421	0.866993446126658	2.29335188764938	0.0218277541860235	-0.223713037811136	0.200914631745976	-1.11347309982871	0.265505295204124	155	147	81	74
