Age_Estimate	Age_Std.Rrror	Age_Z_value	Age_Pvalue	Gender_Estimate	Gender_Std.Rrror	Gender_Z_value	Gender_Pvalue	Metabolite_Estimate	Metabolite_Std.Rrror	Metabolite_Z_value	Metabolite_Pvalue	BMI_Estimate	BMI_Std.Rrror	BMI_Z_value	BMI_Pvalue	Smoking_Estimate	Smoking_Std.Rrror	Smoking_Z_value	Smoking_Pvalue	DM_status_Estimate	DM_status_Std.Rrror	DM_status_Z_value	DM_status_Pvalue	Fasting_status_Estimate	Fasting_status_Std.Rrror	Fasting_status_Z_value	Fasting_status_Pvalue	N	Ndf	Ncases	Ncontrols
FAw3.FA	0.0207278719672793	0.00947586638024244	2.18743818617976	0.0287105510891411	-0.036352136689708	0.199057028581972	-0.182621718754021	0.855094841822434	0.149303571663116	0.096929199814875	1.54033636869252	0.123478383082082	0.0378606493987377	0.0257715367944507	1.46908776534002	0.141808985777813	0.541281061371426	0.127305881673047	4.25181503209386	2.1204496322553e-05	0.674488569326029	0.423655519449053	1.59206841021019	0.111369334141318	-0.0599148413345993	0.243240786715051	-0.246319057522156	0.805435258569457	557	549	149	408
FAw3	0.0204078983628395	0.00950499535936652	2.14707083920129	0.0317876424242469	-0.0691779281273244	0.200907611857872	-0.344327064005234	0.73060033314077	0.150863634009191	0.0985474674242826	1.53087276570658	0.125800841291347	0.0345726925983628	0.0257778322065915	1.34117920860398	0.17986227510982	0.538619572522504	0.127307549341279	4.23085335716113	2.32806413559594e-05	0.698680764504241	0.423493110245708	1.64980432408657	0.0989829640935739	-0.0521714244922317	0.242779990828654	-0.214891780472356	0.82985169342944	557	549	149	408
XL.VLDL.TG_.	0.0166688556215508	0.00961076465462257	1.73439431934622	0.0828481423193048	-0.0151133262943511	0.201439673212622	-0.0750265628082049	0.94019357738524	-0.143735678674118	0.0982389867458765	-1.46312256910723	0.143433843283773	0.0514843861699195	0.0263319262858518	1.95520774329306	0.0505585549995099	0.527815196523765	0.12661379404776	4.16870215834987	3.06338983904686e-05	0.740194132812403	0.424326665851416	1.74439692901976	0.0810899001388438	-0.0792608673263968	0.246939497027032	-0.320972822414553	0.748230986661089	552	544	148	404
M.HDL.CE_.	0.0179519548899493	0.00956493536781903	1.87685062152623	0.0605385701505775	-0.00933872606139482	0.1983781051421	-0.0470753869470898	0.962453143954577	-0.144370161562306	0.0997408248120222	-1.44745305479873	0.14777007558013	0.0332628232152081	0.0259326593117437	1.28266148162232	0.199610700178038	0.540839897749343	0.12631895325089	4.28154195257737	1.856027224973e-05	0.698903676085061	0.422264512997006	1.65513239823214	0.0978976442812249	-0.0512337903982024	0.243191612636911	-0.210672522142839	0.833142817530675	560	552	151	409
Crea	0.0227317808400035	0.00949829653075907	2.39324817522694	0.016699940866655	-0.169461418103118	0.224388330484176	-0.75521493358171	0.45012002972734	-0.162389877538573	0.112841852949283	-1.43909261762619	0.150124283381411	0.0442305548901506	0.0253981384887278	1.74148805865363	0.0815980646275744	0.527867567683393	0.126483081841572	4.17342430305881	3.00055383674858e-05	0.655910959707063	0.424904292939909	1.54366752844228	0.12266889659891	-0.0761810430009984	0.243779401842733	-0.312499917651551	0.754660625633079	557	549	151	406
DHA.FA	0.020376164267253	0.00945226105636636	2.15569207682103	0.031107717270552	-0.0305122185848559	0.198873614882526	-0.153425172076644	0.878062995437481	0.136680003457794	0.096497458118963	1.41641040211954	0.156655380103864	0.038235960626785	0.0257505038007721	1.48486262337278	0.137580218852075	0.541441440983744	0.127188873665791	4.25698746579414	2.0719996731761e-05	0.685543723410325	0.42315308215794	1.62008443827061	0.105214139782571	-0.0668346992354752	0.24374083676953	-0.274203945966883	0.783927895856245	557	549	149	408
S.VLDL.PL_.	0.0193042303323303	0.00942671236167736	2.04782214537576	0.0405774296134306	0.0379238220732558	0.20075974461755	0.188901525778991	0.850169997707967	-0.135265224324008	0.103691808551978	-1.30449286412246	0.192065590970872	0.0366752146144685	0.0256701392076087	1.42871116973132	0.153087266070738	0.552961977130419	0.126439977098824	4.37331601775151	1.22373379927831e-05	0.731774153674207	0.424256870676642	1.72483748467552	0.0845567643453183	-0.0277598138995577	0.243846187088641	-0.113841492585926	0.909363446055966	561	553	151	410
Gln	0.0223746142006908	0.0095818610078105	2.33510110222352	0.0195381397649393	-0.0284854772057909	0.200735304450946	-0.141905666687306	0.887154518248807	-0.131803953595017	0.102102089993632	-1.29090358094763	0.196737113548745	0.034890459651486	0.0258093459992202	1.35185369100558	0.176422124322778	0.551809402070083	0.127043591418742	4.34346507295508	1.40252784395559e-05	0.630480238516246	0.422434463022422	1.49249243067269	0.135570100108154	-0.0465790866479012	0.243654115459183	-0.191168889391093	0.848393276757094	557	549	150	407
S.HDL.PL	0.017228926573226	0.00967029317989245	1.78163435717237	0.0748088778719727	-0.0180422323840364	0.198203703206536	-0.09102873504455	0.927469758573013	-0.1345707528743	0.105218866312316	-1.27896030047368	0.200911036241848	0.0467463479177339	0.026544708162813	1.7610420740365	0.0782312820437888	0.534794211241095	0.126718922205318	4.22031849651143	2.4395740676034e-05	0.721110508975702	0.421464223246343	1.71096493890115	0.0870875853784164	-0.0394912311853611	0.243544588681485	-0.162151955004054	0.871186193343489	560	552	150	410
XL.HDL.C_.	0.021656607298923	0.00945270823559139	2.29104789433587	0.0219606437633699	0.056537549442963	0.206734325781144	0.273479255219646	0.784484836697297	0.131099976579275	0.104405646663421	1.25567898642409	0.2092323809241	0.0315904742460352	0.0261119827212512	1.20980756548699	0.226352742515829	0.543475415252676	0.126899667809012	4.28271739899763	1.84624598915484e-05	0.69960185873063	0.423314206787763	1.652677485217	0.0983965189567143	-0.0444090733190241	0.242458086841633	-0.183161856539893	0.854671022092894	560	552	150	410
XL.HDL.CE_.	0.0215392803478442	0.00943821308486146	2.28213541633133	0.0224813466166713	0.0656513840545444	0.209385651013093	0.313542899128456	0.753868233726615	0.129709946803748	0.106082894735599	1.22272254284763	0.221434509558541	0.0314228851703942	0.0261689873260823	1.20076809923307	0.229841169588924	0.545158649652633	0.127003391374095	4.29247316748291	1.76693908881169e-05	0.697531595162946	0.422999251092527	1.6490137827936	0.09914481109789	-0.0444382589231695	0.242472733227894	-0.183271159324142	0.854585262635455	560	552	150	410
XL.VLDL.C_.	0.0162005533553385	0.00956447710916519	1.69382530486839	0.0902984840774532	0.0131269853440847	0.201194816899572	0.0652451467009567	0.947978815811732	0.123876840306967	0.101973678637192	1.21479230682364	0.224445315770876	0.0525451785642464	0.0267856576778032	1.96169081216138	0.0497984921744753	0.530355635522639	0.127150696228367	4.17107928823374	3.03160347235259e-05	0.721759132433721	0.422399098820336	1.70871371281195	0.0875039927620848	-0.0498404304011449	0.246083542315351	-0.202534594277237	0.839498816434698	550	542	147	403
M.HDL.FC_.	0.0191431664713254	0.0093591009683697	2.04540655518326	0.0408147932259804	0.051854895289065	0.205319398754127	0.252557213803076	0.800610396701592	-0.123835902386341	0.104081719912699	-1.18979492739178	0.234127003823899	0.0322804069541216	0.0259526568262491	1.24381897276399	0.213566195981462	0.543093574634149	0.126913240222176	4.27925072028263	1.87523531019335e-05	0.695900260187148	0.421566370926691	1.65074898801205	0.0987898402961868	-0.0345349122359985	0.243475607320009	-0.14184136397125	0.887205310635278	559	551	150	409
S.HDL.L	0.0177623287728923	0.00955752172030944	1.85846595934466	0.0631028730879117	0.000994646007786883	0.198558429776362	0.0050093365912853	0.996003144389774	-0.12421161498037	0.10512996013435	-1.18150539410111	0.237402011873518	0.0453544742221954	0.0263404788708164	1.72185458148391	0.0850958642649799	0.537611725056834	0.126703304924247	4.2430757854206	2.20476937911651e-05	0.710606203983234	0.421149700864659	1.68730074489972	0.0915455378478825	-0.020076159213614	0.244784151989628	-0.0820157638900769	0.93463417791621	560	552	150	410
S.HDL.P	0.0178659075712212	0.0095623094877869	1.86836742672257	0.0617108741111558	-0.00124672051505066	0.198459745661548	-0.00628198182404612	0.994987736658109	-0.119633287743609	0.105714404817386	-1.13166496042112	0.257775318145319	0.0456733268382803	0.0264809106450991	1.72476420657887	0.0845699747059174	0.537164173821419	0.126662972484762	4.24089347726341	2.22631782684401e-05	0.709483616966909	0.421153006241681	1.68462199355587	0.092061525263798	-0.0227602791763517	0.244646611314702	-0.0930332901569356	0.925877114180392	560	552	150	410
Alb	0.0227209528119647	0.00979193363909683	2.32037446835275	0.0203206288202392	0.0161707048358637	0.198480862746418	0.0814723626857852	0.935066303177281	0.11252379351825	0.103363871710612	1.08861821501117	0.276322280885899	0.039633065990053	0.0255445626335232	1.55152650521566	0.120775560526608	0.557717526568499	0.126795607420191	4.39855558024394	1.08973720428841e-05	0.717780919054722	0.422831544941114	1.69755763883389	0.0895912837339922	-0.0866292290177931	0.245184054708307	-0.353323257994305	0.723846111167689	559	551	150	409
S.HDL.FC	0.0175836094922304	0.00968732905616985	1.81511429933635	0.069506346156698	-0.00802471009885056	0.198279597659628	-0.0404716884317366	0.967717077900589	-0.112180515379208	0.104170045278855	-1.07689801880098	0.281525828307622	0.0429936448156929	0.0260330199225849	1.65150431811385	0.0986356397580803	0.536389794238416	0.126618592753195	4.23626406339824	2.27269486785897e-05	0.716115789572583	0.421129210968764	1.70046572624405	0.0890433579428399	-0.0409205713295988	0.243359628308317	-0.168148561098868	0.866466406943312	560	552	150	410
XL.HDL.PL_.	0.0211662988374656	0.00941427378178553	2.2483198734264	0.0245558003688615	0.0431383913604122	0.205996938928816	0.209412778581719	0.834126018046583	-0.110938254953994	0.103071673074542	-1.07632147266846	0.281783508624686	0.0311251636999647	0.0263816288356978	1.17980447279465	0.238077990181758	0.5428153283676	0.126941740568938	4.27609804257263	1.90197487717711e-05	0.701555825213391	0.423404520354236	1.65693985653824	0.0975316352738028	-0.0409056021511844	0.242537701269786	-0.168656674558333	0.866066699181708	560	552	150	410
ApoB.ApoA1	0.0197047210065836	0.00943854098302231	2.08768717983296	0.036826062043488	0.00997833097576947	0.198312802968017	0.0503161209283031	0.959870477398313	0.105174966150968	0.100215312168672	1.04948998186972	0.293952663658409	0.0367098464236567	0.0258016518923757	1.42277116894614	0.154802501744393	0.543523686547991	0.126176480789236	4.30764658475369	1.65000745289848e-05	0.702717393422292	0.422161099542207	1.66457163908357	0.0959982474855259	-0.0548612622075746	0.242827892530639	-0.225926526132711	0.821258566290729	560	552	151	409
UnSat	0.0204350017236308	0.00942876573029508	2.16730400438014	0.0302116813747237	-0.0511241625300449	0.199944082478413	-0.255692301049043	0.798188440475642	0.104447460764097	0.100353897663896	1.04079127164458	0.29797243185428	0.0406134720010864	0.0261744086945707	1.55164811839707	0.120746442937785	0.539056507946792	0.127023449023522	4.24375587413763	2.19809475116756e-05	0.685035459902883	0.423214158632576	1.61864967400019	0.105522660747442	-0.0651001840812088	0.243445976187397	-0.267411214186989	0.789152566064057	557	549	149	408
SM	0.0194955303839591	0.0094864382131442	2.05509485709258	0.0398698435764932	-0.0928160852360723	0.208364661479804	-0.445450224509729	0.655994423390782	0.110769033538167	0.106484992072128	1.04023141085589	0.298232401501831	0.0372829597523841	0.0257602609839237	1.44730520298887	0.14781146254464	0.532014112126328	0.127138833227997	4.18451309185978	2.85777978064537e-05	0.746981555966249	0.424552241849503	1.75945733489035	0.0784998608703569	-0.0569435825438627	0.242993857903104	-0.23434165388069	0.814719750928108	557	549	149	408
HDL2.C	0.0197845347244852	0.00936722267053364	2.11210253245299	0.0346776558411133	0.065231514448686	0.209160550552956	0.31187293338172	0.755137093317787	-0.112341281385115	0.108481595916928	-1.03557917299763	0.300398512478828	0.0341599372444758	0.0262175988136298	1.30293920077521	0.192595519338658	0.551088521164719	0.12631568341975	4.36278778885626	1.28415493742364e-05	0.684551254283534	0.421131038130329	1.62550653431458	0.104054672665432	-0.0456959081526965	0.243248582087597	-0.187856832547705	0.85098888283063	561	553	151	410
L.HDL.PL	0.0202263848146149	0.0093484573403915	2.16360668697964	0.0304945478960811	0.0650095682385266	0.209383431831714	0.310480956730025	0.756195238785858	-0.111116660103103	0.108442008698199	-1.02466434767313	0.305521590922759	0.0341605420035985	0.0262463145820508	1.30153671277567	0.19307480650848	0.549749835699182	0.126213344018268	4.35571880275681	1.32630954568773e-05	0.685780637034155	0.421135614781395	1.62840807797777	0.103438385915046	-0.0511914029768854	0.243047453146744	-0.210623079213991	0.833181401676074	561	553	151	410
XS.VLDL.CE	0.0192403949120808	0.00951667856199422	2.02175525701994	0.0432016422048608	-0.0544341021755722	0.204039956686558	-0.266781580723391	0.789637336880341	0.1033901130491	0.102745670964853	1.00627220668467	0.314284646276775	0.0401984881577538	0.0254515566438097	1.57941177116689	0.114241639137082	0.543911552765268	0.126152978800693	4.31152365910111	1.62133422126597e-05	0.717287099058981	0.423565215881808	1.69345137930102	0.0903695821339216	-0.0606288704816555	0.242659305046707	-0.24985182608178	0.802701939015969	561	553	151	410
L.HDL.L	0.0203960112489807	0.00934976847214966	2.18144559512192	0.0291504743329173	0.0590967152625329	0.20897480297182	0.282793496737988	0.777335139789529	-0.103488570496937	0.108041983609646	-0.957855150742513	0.338135804577019	0.0343037838715204	0.0263314613284067	1.30276794909643	0.192653996086915	0.549417961607672	0.126182725461492	4.35414562174234	1.33586888267343e-05	0.686285197579885	0.42118973361334	1.62939678441903	0.103229049078389	-0.0541044637098266	0.242930161903028	-0.222716122551401	0.823756452522016	561	553	151	410
IDL.TG	0.0192031615695331	0.00948892118507037	2.02374550225444	0.0429963441699931	-0.027709006313574	0.200143805306783	-0.13844548559023	0.889888350801382	0.0950583691453168	0.100570989190578	0.945186777125009	0.344563528922455	0.0368387840202402	0.0256886470534983	1.43404921028036	0.151558220217233	0.53604281259521	0.126308117598643	4.24393002434364	2.19638867593703e-05	0.686225477549235	0.421384065515062	1.62850362343544	0.103418141548695	-0.0592169054332467	0.243041155208303	-0.243649703617043	0.80750213015951	560	552	151	409
